"","artist","artist_id","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20"
"1","Post Malone","246dkjvS1zLTtiykXe5h60","dfw rap","pop","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Camila Cabello","4nDoRrQiYLoBzwC5BhVJzF","dance pop","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Dua Lipa","6M2wZ9GZgrQXHCFfjv46we","dance pop","pop","post-teen pop","uk pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Selena Gomez","0C8ZW7ezQVs4URX5aX7Kqx","dance pop","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Ed Sheeran","6eUKZXaKkcviH0Ku9w2n3V","pop","uk pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Eminem","7dGJo4pcD2V6oG8kP0tJRR","detroit hip hop","g funk","hip hop","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Luis Fonsi","4V8Sr092TqfHkfAA5fXXqG","latin","latin pop","pop","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Maroon 5","04gDigrS5kc9YWfZHwBETP","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Lil Pump","3wyVrVrFCkukjdVIdirGVY","emo rap","miami hip hop","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","G-Eazy","02kJSzxNuaWGqwubyUba0Z","hip hop","indie pop rap","pop","pop rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","NF","6fOMl44jA4Sp5b9PpYCkzz","hip hop","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Maluma","1r4hJ1h58CWwUQe3MxPuau","reggaeton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Marshmello","64KEffDW9EtZ1y2vBYgq8T","brostep","progressive electro house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Natti Natasha","1GDbiv3spRmZ1XdM1jQbT7","latin","rap latina","reggaeton","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Sam Smith","2wY79sveU1sp5g7SokKOiI","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Khalid","6LuN9FCkKOj5PcnpouEgny","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","latin","reggaeton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Portugal. The Man","4kI8Ie27vjvonwaB2ePh8T","indie pop","indie rock","modern rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Danny Ocean","5H1nN1SzW0qNeUEZvuXjAj","latin","pop","reggaeton","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Bad Bunny","4q3ewBCX7sLwd24euuV69X","reggaeton","trap latino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Hailee Steinfeld","5p7f24Rk5HkUZsaS3BLG5F","dance pop","pop","post-teen pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Anitta","7FNnA9vBm6EKceENgCGRMb","baile pop","funk carioca","funk das antigas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Imagine Dragons","53XhwfbYqKCa1cC15pYq2q","modern rock","rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ZAYN","5ZsFI1h6hIdQRw2ti0hz81","dance pop","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Lil Uzi Vert","4O15NlyKLIASxsJ0PrXPfz","philly rap","rap","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Becky G","4obzFoKoKRHIphyHzJ35G3","latin viral pop","pop","rap latina","reggaeton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Ozuna","1i8SpTcr7yvPOmcqrbnVXY","reggaeton","trap latino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Cardi B","4kYSro6naA4h99UJvo89HB","pop","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Logic","4xRYI6VqpkE3UwrDrAZL8L","conscious hip hop","dmv rap","hip hop","pop rap","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","French Montana","6vXTefBL93Dj5IqAWq6OTv","hip hop","pop","pop rap","rap","southern hip hop","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Bebe Rexha","64M6ah0SkkRsnPGtGiRAbb","dance pop","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Charlie Puth","6VuMaDnrHyPL1p4EHjYLi7","dance pop","pop","post-teen pop","viral pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Kendrick Lamar","2YZyLoL8N0Wb9xBt1NhZWg","conscious hip hop","hip hop","pop rap","rap","west coast rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Kygo","23fqKkggKUBHNkbKtXEls4","edm","pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Piso 21","4bw2Am3p9ji3mYsXNXtQcd","colombian pop","latin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Offset","4DdkRBBYG6Yk9Ka8tdJ9BW","atl hip hop","pop","pop rap","rap","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Clean Bandit","6MDME20pz9RveH9rEXvrOM","dance pop","edm","pop","post-teen pop","tropical house","uk dance","uk funky",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","The Chainsmokers","69GGBxA162lTqCwzJG5jLp","edm","electropop","pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","21 Savage","1URnnhqYAYcrqrcwql10ft","atl hip hop","rap","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Drake","3TVXtAsR1Inumwj472S9r4","canadian hip hop","canadian pop","hip hop","pop rap","rap","toronto rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Shakira","0EmeFodog0BfCgMzAIvKQp","colombian pop","dance pop","latin","latin pop","mexican pop","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Alex Sensation","0OROVBEZCocg0FcgJpyBse","reggaeton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Axwell /\ Ingrosso","2XnBwblw31dfGnspMIwgWz","big room","dance pop","edm","electro house","pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
