"","track_id","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","danceability"
"1","7wGoVu4Dady5GV0Sv4UIsx",0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,218320,4,0.577
"2","0ofbQMrRDsUaVKq2mGLEAb",0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992,216897,4,0.768
"3","2ekn2ttSfGqwhhate0LSR0",0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209320,4,0.762
"4","7EmGUiUaOSGDnUUQUDrOXC",0.802,11,-4.647,0,0.0394,0.139,0,0.177,0.327,124.989,197993,4,0.715
"5","7qiZfU4dY1lWllzX7mPBI3",0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713,4,0.825
"6","5UEnHoDYpsxlfzWLZIc7LD",0.748,8,-5.794,0,0.473,0.17,0,0.0759,0.693,90.052,221013,4,0.757
"7","1zsG4eaZmkA1dvjDDsAGLK",0.895,7,-3.617,1,0.0411,0.0322,0,0.097,0.64,96.022,173720,4,0.724
"8","3hBBKuWJfxlIlnd9QFoC8k",0.615,5,-5.211,0,0.0671,0.0786,2.98e-06,0.0855,0.393,110.009,199849,4,0.795
"9","43ZyHQITOjhciSUUNPVRHc",0.523,5,-6.71,1,0.0597,0.239,0,0.117,0.699,119.889,124056,4,0.936
"10","5k38wzpLb15YgncyWdTZE4",0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,268867,4,0.589
"11","0tgVpDi06FyKpA1z0VMD4v",0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,263400,3,0.599
"12","5CtI0qwDJkDQGwXD1H1cLb",0.815,2,-4.328,1,0.12,0.229,0,0.0924,0.813,88.931,228827,4,0.694
"13","6mrKP2jyIQmM0rw6fQryjr",0.716,5,-5.673,0,0.111,0.33,0,0.173,0.437,148.015,212120,4,0.659
"14","4lESS6vuruP6a79KWRaQou",0.768,4,-5.401,0,0.122,0.283,2.25e-05,0.162,0.765,98.989,184067,4,0.871
"15","7vGuf3Y35N4wmASOKLUVVU",0.761,4,-3.093,1,0.0853,0.256,4.96e-06,0.17,0.286,141.971,180823,4,0.52
"16","6Za3190Sbw39BBC77WSS1C",0.813,2,-3.023,0,0.0561,0.03,9.33e-05,0.255,0.839,79.997,232550,4,0.814
"17","1mXVgsBdtIVeCLJnSnmtdV",0.375,5,-8.279,1,0.0491,0.652,0,0.173,0.534,91.92,201000,4,0.698
"18","5Z3GHaZ6ec9bsiI5BenrbY",0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949,202547,4,0.798
"19","2rb5MvYT7ZIxbKW5hfcHx8",0.677,11,-4.915,0,0.0993,0.0148,6.21e-06,0.13,0.294,103.809,189440,4,0.543
"20","75ZvA4QfFiZvzhj2xkaWAh",0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,223347,4,0.556
"21","2DQ1ITjI0YoLFzuADN1ZBW",0.771,1,-3.791,1,0.244,0.0117,0,0.0853,0.405,175.957,245387,4,0.838
"22","1bhUWB0zJMIKr9yVPrkEuI",0.299,8,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,259550,3,0.587
"23","6QgjcU0zLnzq5OrUoSZ3OK",0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4,0.801
"24","6De0lHrwBfPfrhorm9q1Xl",0.804,1,-6.327,1,0.0677,0.0231,0,0.0494,0.426,104.823,205715,4,0.744
"25","5hcisvFMidkMJlElTO9Qmw",0.681,11,-6.268,1,0.0983,0.423,0,0.0962,0.676,140.006,297485,4,0.807
"26","5AEtlRudpgdT5FtNiuly6Y",0.717,8,-4.202,1,0.0581,0.0393,0,0.0769,0.71,103.036,174800,4,0.659
"27","3Ga6eKrUFf12ouh9Yw3v2D",0.679,4,-4.985,0,0.135,0.18,7.26e-05,0.068,0.619,166.008,193456,4,0.775
"28","0tKcYR2II1VCQWT79i5NrW",0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,187147,4,0.6
"29","1j4kHkkpqZRBwE0A4CN4Yv",0.437,11,-6.593,0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,239000,4,0.258
